left_id,town,status,right_id,best_candidate_id,score,margin,reverse_margin,reason
register_1920_03:L019,Eichenried,review,,register_1930_03:L009,0.6,0.0,0.0,below_threshold
register_1920_03:L020,Eichenried,accepted,register_1930_03:L019,register_1930_03:L019,1.0,0.4245,0.360214,mutual_best_with_margin
register_1920_03:L021,Eichenried,unmatched,,register_1930_03:L008,0.5,0.5,0.422222,below_threshold
register_1920_03:L022,Eichenried,unmatched,,,,,,no_candidates
register_1920_03:L023,Eichenried,review,,register_1930_03:L014,0.735714,0.095928,0.160214,below_threshold
register_1920_03:L024,Eichenried,unmatched,,register_1930_03:L023,0.502222,0.502222,0.374564,below_threshold
register_1920_04:L005,Falkenbrueck,accepted,register_1930_04:L005,register_1930_04:L005,1.0,0.422639,0.422639,mutual_best_with_margin
register_1920_04:L006,Falkenbrueck,accepted,register_1930_04:L024,register_1930_04:L024,0.8875,0.413971,0.483137,mutual_best_with_margin
register_1920_04:L007,Falkenbrueck,unmatched,,,,,,no_candidates
register_1920_04:L008,Falkenbrueck,review,,register_1930_04:L015,0.566508,0.566508,0.433492,below_threshold
register_1920_04:L009,Falkenbrueck,review,,register_1930_04:L021,0.6625,0.124285,0.198214,below_threshold
register_1920_04:L010,Falkenbrueck,accepted,register_1930_04:L012,register_1930_04:L012,1.0,1.0,1.0,mutual_best_with_margin
register_1920_04:L011,Falkenbrueck,accepted,register_1930_04:L011,register_1930_04:L011,0.95,0.368611,0.415278,mutual_best_with_margin
register_1920_04:L012,Falkenbrueck,unmatched,,register_1930_04:L016,0.490741,0.490741,0.490741,below_threshold
register_1920_04:L013,Falkenbrueck,review,,register_1930_04:L014,0.55197,0.094827,0.157143,below_threshold
register_1920_04:L014,Falkenbrueck,review,,register_1930_04:L018,0.584615,0.120329,0.0464,below_threshold
register_1920_04:L015,Falkenbrueck,accepted,register_1930_04:L006,register_1930_04:L006,1.0,0.422639,0.418611,mutual_best_with_margin
register_1920_04:L016,Falkenbrueck,accepted,register_1930_04:L017,register_1930_04:L017,0.8625,0.458137,0.388971,mutual_best_with_margin
register_1920_04:L017,Falkenbrueck,review,,register_1930_04:L007,0.8225,0.293929,0.348214,below_threshold
register_1920_04:L018,Falkenbrueck,accepted,register_1930_04:L015,register_1930_04:L015,1.0,1.0,0.433492,mutual_best_with_margin
register_1920_04:L019,Falkenbrueck,accepted,register_1930_04:L009,register_1930_04:L009,1.0,1.0,1.0,mutual_best_with_margin
register_1920_04:L020,Falkenbrueck,review,,register_1930_04:L010,0.75,0.0,0.0,below_threshold
register_1920_04:L021,Falkenbrueck,accepted,register_1930_04:L020,register_1930_04:L020,1.0,0.364263,0.364263,mutual_best_with_margin
register_1920_04:L022,Falkenbrueck,review,,register_1930_04:L014,0.757619,0.140952,0.157143,below_threshold
register_1920_04:L023,Falkenbrueck,accepted,register_1930_04:L022,register_1930_04:L022,1.0,0.364263,0.364263,mutual_best_with_margin
register_1920_04:L024,Falkenbrueck,review,,register_1930_04:L010,0.75,0.0,0.0,below_threshold
register_1920_05:L005,Lindenfurt,review,,register_1930_05:L007,0.75,0.0,0.0,below_threshold
register_1920_05:L006,Lindenfurt,accepted,register_1930_05:L021,register_1930_05:L021,1.0,0.343333,0.211667,mutual_best_with_margin
register_1920_05:L007,Lindenfurt,review,,register_1930_05:L017,0.8225,0.034167,0.165833,below_threshold
register_1920_05:L008,Lindenfurt,unmatched,,,,,,no_candidates
register_1920_05:L009,Lindenfurt,review,,register_1930_05:L007,0.75,0.0,0.0,below_threshold
register_1920_05:L010,Lindenfurt,review,,register_1930_05:L009,0.869643,0.026786,0.357592,ambiguous_source
register_1920_05:L011,Lindenfurt,accepted,register_1930_05:L005,register_1930_05:L005,1.0,0.39803,0.39803,mutual_best_with_margin
register_1920_05:L012,Lindenfurt,unmatched,,,,,,no_candidates
register_1920_05:L013,Lindenfurt,accepted,register_1930_05:L008,register_1930_05:L008,1.0,0.206667,0.206667,mutual_best_with_margin
register_1920_05:L014,Lindenfurt,accepted,register_1930_05:L010,register_1930_05:L010,0.869643,0.380211,0.354087,mutual_best_with_margin
register_1920_05:L015,Lindenfurt,unmatched,,register_1930_05:L010,0.515556,0.062979,0.354087,below_threshold
register_1920_05:L016,Lindenfurt,review,,register_1930_05:L015,0.564286,0.564286,0.435714,below_threshold
register_1920_05:L017,Lindenfurt,accepted,register_1930_05:L020,register_1930_05:L020,1.0,0.206667,0.206667,mutual_best_with_margin
register_1920_05:L018,Lindenfurt,unmatched,,register_1930_05:L011,0.512051,0.008241,0.003333,below_threshold
register_1920_05:L019,Lindenfurt,accepted,register_1930_05:L018,register_1930_05:L018,1.0,0.443137,0.429804,mutual_best_with_margin
register_1920_05:L020,Lindenfurt,review,,register_1930_05:L012,0.8,0.19803,0.194148,below_threshold
register_1920_05:L021,Lindenfurt,accepted,register_1930_05:L013,register_1930_05:L013,0.909244,0.395911,0.419812,mutual_best_with_margin
register_1920_05:L022,Lindenfurt,accepted,register_1930_05:L019,register_1930_05:L019,0.8625,0.295637,0.305637,mutual_best_with_margin
register_1920_05:L023,Lindenfurt,review,,register_1930_05:L012,0.605852,0.039344,0.194148,below_threshold
register_1920_05:L024,Lindenfurt,accepted,register_1930_05:L015,register_1930_05:L015,1.0,1.0,0.435714,mutual_best_with_margin
register_1920_06:L005,Sonnenried,accepted,register_1930_06:L006,register_1930_06:L006,0.9125,0.369167,0.369167,mutual_best_with_margin
register_1920_06:L006,Sonnenried,accepted,register_1930_06:L005,register_1930_06:L005,1.0,0.372115,0.362949,mutual_best_with_margin
register_1920_06:L007,Sonnenried,review,,register_1930_06:L012,0.75,0.0,0.0,below_threshold
register_1920_06:L008,Sonnenried,unmatched,,register_1930_06:L020,0.465385,0.465385,0.397115,below_threshold
register_1920_06:L009,Sonnenried,accepted,register_1930_06:L008,register_1930_06:L008,0.8625,0.2025,0.2,mutual_best_with_margin
register_1920_06:L010,Sonnenried,accepted,register_1930_06:L024,register_1930_06:L024,0.86,0.1975,0.2,mutual_best_with_margin
register_1920_06:L011,Sonnenried,unmatched,,register_1930_06:L017,0.531929,0.006268,0.055434,below_threshold
register_1920_06:L012,Sonnenried,accepted,register_1930_06:L023,register_1930_06:L023,0.973529,0.487792,0.559717,mutual_best_with_margin
register_1920_06:L013,Sonnenried,unmatched,,,,,,no_candidates
register_1920_06:L014,Sonnenried,accepted,register_1930_06:L022,register_1930_06:L022,1.0,0.490996,0.53645,mutual_best_with_margin
register_1920_06:L015,Sonnenried,accepted,register_1930_06:L019,register_1930_06:L019,1.0,0.402381,0.490996,mutual_best_with_margin
register_1920_06:L016,Sonnenried,review,,register_1930_06:L012,0.75,0.0,0.0,below_threshold
register_1920_06:L017,Sonnenried,unmatched,,,,,,no_candidates
register_1920_06:L018,Sonnenried,accepted,register_1930_06:L018,register_1930_06:L018,0.86,0.446454,0.2,mutual_best_with_margin
register_1920_06:L019,Sonnenried,accepted,register_1930_06:L020,register_1930_06:L020,0.8625,0.8625,0.397115,mutual_best_with_margin
register_1920_06:L020,Sonnenried,accepted,register_1930_06:L013,register_1930_06:L013,1.0,0.424603,0.424603,mutual_best_with_margin
register_1920_06:L021,Sonnenried,review,,register_1930_06:L018,0.66,0.247949,0.2,below_threshold
register_1920_06:L022,Sonnenried,accepted,register_1930_06:L010,register_1930_06:L010,1.0,1.0,1.0,mutual_best_with_margin
register_1920_06:L023,Sonnenried,review,,register_1930_06:L015,1.0,0.033137,1.0,ambiguous_source
register_1920_06:L024,Sonnenried,review,,register_1930_06:L017,0.587363,0.055401,0.055434,below_threshold
register_1920_07:L005,Tannenhafen,accepted,register_1930_07:L014,register_1930_07:L014,0.9125,0.542659,0.517672,mutual_best_with_margin
register_1920_07:L006,Tannenhafen,review,,register_1930_07:L011,0.700893,0.140179,0.145736,below_threshold
register_1920_07:L007,Tannenhafen,accepted,register_1930_07:L021,register_1930_07:L021,0.89375,0.338593,0.232323,mutual_best_with_margin
register_1920_07:L008,Tannenhafen,accepted,register_1930_07:L013,register_1930_07:L013,1.0,1.0,0.403333,mutual_best_with_margin
register_1920_07:L009,Tannenhafen,review,,register_1930_07:L017,0.75,0.0,0.0,below_threshold
register_1920_07:L010,Tannenhafen,review,,register_1930_07:L012,0.550383,0.011805,0.005172,below_threshold
register_1920_07:L011,Tannenhafen,review,,register_1930_07:L013,0.596667,0.596667,0.403333,below_threshold
register_1920_07:L012,Tannenhafen,unmatched,,register_1930_07:L024,0.512698,0.066483,0.042857,below_threshold
register_1920_07:L013,Tannenhafen,review,,register_1930_07:L008,0.80625,0.054728,0.188971,below_threshold
register_1920_07:L014,Tannenhafen,accepted,register_1930_07:L019,register_1930_07:L019,0.91,0.383214,0.473214,mutual_best_with_margin
register_1920_07:L015,Tannenhafen,review,,register_1930_07:L024,0.75,0.230296,0.042857,below_threshold
register_1920_07:L016,Tannenhafen,review,,register_1930_07:L017,0.75,0.0,0.0,below_threshold
register_1920_07:L017,Tannenhafen,review,,register_1930_07:L024,0.568254,0.168193,0.042857,below_threshold
register_1920_07:L018,Tannenhafen,review,,register_1930_07:L015,0.8,0.317196,0.8,below_threshold
register_1920_07:L019,Tannenhafen,review,,register_1930_07:L024,0.707143,0.199617,0.042857,below_threshold
register_1920_07:L020,Tannenhafen,accepted,register_1930_07:L005,register_1930_07:L005,0.94375,0.148922,0.192228,mutual_best_with_margin
register_1920_07:L021,Tannenhafen,review,,register_1930_07:L009,0.6875,0.092872,0.6875,below_threshold
register_1920_07:L022,Tannenhafen,review,,register_1930_07:L007,0.793333,0.793333,0.793333,below_threshold
register_1920_07:L023,Tannenhafen,review,,register_1930_07:L012,0.8,0.061422,0.005172,below_threshold
register_1920_07:L024,Tannenhafen,accepted,register_1930_07:L023,register_1930_07:L023,0.935714,0.322583,0.41601,mutual_best_with_margin
register_1920_08:L005,Wiesenfels,unmatched,,,,,,no_candidates
register_1920_08:L006,Wiesenfels,review,,register_1930_08:L007,0.75,0.0,0.0,below_threshold
register_1920_08:L007,Wiesenfels,accepted,register_1930_08:L014,register_1930_08:L014,1.0,0.497451,0.544167,mutual_best_with_margin
register_1920_08:L008,Wiesenfels,accepted,register_1930_08:L023,register_1930_08:L023,1.0,1.0,1.0,mutual_best_with_margin
register_1920_08:L009,Wiesenfels,review,,register_1930_08:L021,0.604158,0.003775,0.101609,below_threshold
register_1920_08:L010,Wiesenfels,review,,register_1930_08:L022,0.596667,0.005758,0.364263,below_threshold
register_1920_08:L011,Wiesenfels,accepted,register_1930_08:L009,register_1930_08:L009,1.0,1.0,1.0,mutual_best_with_margin
register_1920_08:L012,Wiesenfels,accepted,register_1930_08:L022,register_1930_08:L022,1.0,0.454545,0.364263,mutual_best_with_margin
register_1920_08:L013,Wiesenfels,review,,register_1930_08:L017,0.7125,0.213284,0.213284,below_threshold
register_1920_08:L014,Wiesenfels,accepted,register_1930_08:L010,register_1930_08:L010,1.0,0.431111,0.442222,mutual_best_with_margin
register_1920_08:L015,Wiesenfels,review,,register_1930_08:L019,0.75,0.114263,0.159091,below_threshold
register_1920_08:L016,Wiesenfels,accepted,register_1930_08:L018,register_1930_08:L018,1.0,0.442222,0.37,mutual_best_with_margin
register_1920_08:L017,Wiesenfels,review,,register_1930_08:L018,0.63,0.127778,0.37,below_threshold
register_1920_08:L018,Wiesenfels,accepted,register_1930_08:L013,register_1930_08:L013,0.9125,0.3625,0.9125,mutual_best_with_margin
register_1920_08:L019,Wiesenfels,accepted,register_1930_08:L006,register_1930_08:L006,0.9125,0.413284,0.413284,mutual_best_with_margin
register_1920_08:L020,Wiesenfels,accepted,register_1930_08:L024,register_1930_08:L024,1.0,0.480769,1.0,mutual_best_with_margin
register_1920_08:L021,Wiesenfels,accepted,register_1930_08:L005,register_1930_08:L005,1.0,0.382952,0.399617,mutual_best_with_margin
register_1920_08:L022,Wiesenfels,unmatched,,register_1930_08:L015,0.540605,0.153792,0.177907,below_threshold
register_1920_08:L023,Wiesenfels,review,,register_1930_08:L007,0.75,0.0,0.0,below_threshold
register_1920_08:L024,Wiesenfels,unmatched,,,,,,no_candidates
